set_piece_type,delivery_type,delivery_zone,defensive_scheme,num_defenders_box,num_attackers_box,aerial_threat,second_ball_runners,near_post_decoy,gk_screen,blocker_action,taker_foot_matches,runner_from_deep,overload_far_post,second_wave_runner,quick_delivery,dummy_run,xg,second_ball_won
throw_in,outswinger,edge_box,Hybrid,6,1,7,2,0,0,0,0,0,0,0,1,1,0.079,1
goal_kick,lofted,near_post,Deep Zonal,10,3,3,4,0,1,1,1,1,1,1,1,0,0.0928,1
goal_kick,outswinger,central,Deep Zonal,10,5,1,1,1,0,0,1,0,1,0,1,0,0.0767,1
kick_off,inswinger,edge_box,Man-to-Man,4,6,10,0,1,0,0,0,0,0,0,0,0,0.1032,1
corner,straight,near_post,Deep Zonal,8,7,1,4,1,0,0,1,0,0,0,0,0,0.087,1
penalty,inswinger,central,Hybrid,9,7,2,4,0,0,1,1,0,1,0,0,0,0.7823,1
corner,inswinger,central,Deep Zonal,5,1,9,0,0,1,1,1,0,0,0,0,0,0.1498,1
kick_off,straight,near_post,Deep Zonal,11,4,4,1,1,0,0,1,0,1,1,0,0,0.0799,0
throw_in,outswinger,six_yard,Hybrid,11,1,9,0,0,1,0,0,1,0,1,0,0,0.1249,0
free_kick_wide,inswinger,near_post,Deep Zonal,4,6,6,4,0,0,0,0,0,1,0,0,0,0.1202,1
corner,short,penalty_spot,High Zonal,3,1,6,4,0,0,0,0,1,0,0,0,0,0.1054,1
free_kick_wide,short,edge_box,Hybrid,8,6,10,4,0,1,0,1,1,0,1,1,0,0.128,1
throw_in,inswinger,near_post,Deep Zonal,10,1,1,1,1,0,0,1,0,0,0,0,0,0.005,0
corner,driven,penalty_spot,Man-to-Man,9,1,4,3,0,0,0,1,1,0,1,0,0,0.14,1
corner,outswinger,central,Man-to-Man,9,7,4,0,0,0,0,0,1,1,1,1,0,0.161,1
kick_off,lofted,six_yard,High Zonal,9,2,8,0,1,0,0,1,0,0,1,1,1,0.1375,0
goal_kick,lofted,edge_box,High Zonal,4,4,4,2,0,0,0,1,0,0,0,1,1,0.1052,1
corner,straight,edge_box,Hybrid,3,4,9,4,1,0,0,1,0,1,1,0,1,0.1641,1
corner,outswinger,far_post,High Zonal,3,5,8,1,0,0,0,0,1,1,0,0,0,0.1489,1
play_restart,driven,six_yard,Deep Zonal,11,7,10,2,0,1,0,0,0,0,0,0,0,0.1144,1
throw_in,straight,penalty_spot,Hybrid,11,3,9,4,1,0,0,0,1,1,0,1,0,0.1214,1
throw_in,inswinger,central,High Zonal,10,5,8,2,1,0,0,0,1,0,1,0,1,0.1394,1
free_kick_wide,short,near_post,Man-to-Man,3,7,4,4,0,0,0,0,0,0,0,0,0,0.1354,1
corner,straight,near_post,High Zonal,10,1,8,3,1,1,1,1,0,0,1,0,0,0.1148,0
corner,driven,central,Man-to-Man,11,4,5,4,0,0,0,1,0,0,1,1,1,0.137,0
throw_in,long,central,Man-to-Man,10,3,4,1,1,1,0,1,1,1,0,0,0,0.1206,0
corner,driven,wide_channel,High Zonal,6,7,3,4,1,0,0,1,0,0,0,0,0,0.1191,1
corner,long,wide_channel,Deep Zonal,3,5,9,4,1,1,1,0,0,1,1,0,0,0.1303,1
throw_in,short,near_post,Man-to-Man,6,5,8,4,1,0,0,1,0,0,0,0,1,0.1598,1
play_restart,short,wide_channel,Hybrid,4,2,1,4,1,0,0,1,1,0,1,0,1,0.0579,1
goal_kick,lofted,edge_box,Man-to-Man,8,7,4,1,0,1,0,0,0,0,0,0,0,0.0862,0
free_kick_central,lofted,far_post,Man-to-Man,10,1,6,4,1,0,0,1,0,0,1,1,0,0.1073,1
free_kick_central,driven,wide_channel,Deep Zonal,7,4,8,3,0,1,0,1,0,1,0,0,1,0.1592,1
free_kick_wide,driven,edge_box,High Zonal,3,5,4,0,0,0,0,0,0,0,1,0,0,0.129,1
free_kick_wide,short,penalty_spot,Hybrid,6,7,8,4,1,0,0,0,0,0,1,1,0,0.1451,1
free_kick_central,outswinger,central,Hybrid,10,2,3,3,0,0,1,0,1,1,0,0,0,0.1416,1
free_kick_wide,driven,central,High Zonal,8,3,2,3,0,0,1,1,0,0,0,0,0,0.1069,1
throw_in,inswinger,wide_channel,Deep Zonal,3,1,1,0,1,0,0,0,1,0,0,1,1,0.0676,1
kick_off,outswinger,central,Deep Zonal,6,5,9,4,0,1,1,1,0,1,1,0,0,0.1653,1
play_restart,straight,near_post,High Zonal,6,2,7,4,1,0,0,1,1,0,1,1,0,0.1591,1
corner,short,central,Hybrid,3,5,9,4,1,0,0,1,0,1,0,0,0,0.1846,1
free_kick_wide,short,far_post,High Zonal,6,1,6,1,1,0,0,1,0,1,0,0,1,0.0954,0
corner,inswinger,far_post,High Zonal,10,4,6,0,0,1,0,0,0,0,0,0,1,0.1148,0
free_kick_wide,inswinger,wide_channel,Deep Zonal,4,4,3,3,1,0,1,0,0,0,1,1,0,0.1208,1
corner,outswinger,far_post,Hybrid,7,4,1,2,0,1,0,1,1,0,1,0,0,0.0498,0
corner,outswinger,six_yard,High Zonal,8,3,8,1,0,1,1,0,0,0,0,0,0,0.1627,0
goal_kick,inswinger,penalty_spot,Deep Zonal,9,2,2,1,1,0,1,1,1,0,0,0,0,0.1119,1
free_kick_central,long,far_post,Man-to-Man,5,6,9,3,1,0,1,1,0,0,0,0,1,0.2431,1
kick_off,outswinger,near_post,High Zonal,8,7,1,4,1,0,1,1,1,0,0,0,1,0.1165,1
corner,straight,central,High Zonal,9,2,10,2,0,0,0,1,1,1,0,0,1,0.1842,1
corner,outswinger,six_yard,High Zonal,8,4,5,4,0,0,0,1,0,0,1,0,1,0.1299,1
free_kick_wide,short,edge_box,High Zonal,10,1,3,2,0,0,0,0,0,0,0,1,0,0.0568,1
corner,driven,far_post,Deep Zonal,4,2,3,2,0,0,0,0,0,0,1,0,1,0.0907,0
corner,inswinger,wide_channel,Hybrid,3,3,7,1,1,0,0,0,0,0,1,1,0,0.1491,0
play_restart,outswinger,six_yard,Hybrid,11,5,9,0,0,0,1,1,1,0,0,0,0,0.16,1
corner,long,near_post,Man-to-Man,9,5,5,1,0,0,0,1,0,0,0,1,0,0.099,1
corner,inswinger,penalty_spot,Hybrid,7,6,5,1,0,0,0,0,0,1,1,1,1,0.1297,0
penalty,driven,edge_box,High Zonal,8,1,9,3,0,1,1,0,1,1,1,1,1,0.774,1
free_kick_central,lofted,six_yard,Man-to-Man,11,1,5,0,0,1,1,0,0,1,1,0,0,0.2003,0
throw_in,short,near_post,Deep Zonal,10,2,4,2,1,0,0,1,0,0,0,0,0,0.0144,1
free_kick_wide,lofted,central,High Zonal,10,3,10,2,1,0,0,1,0,1,0,0,0,0.1918,1
goal_kick,straight,far_post,Man-to-Man,8,4,9,2,0,0,1,0,0,1,1,0,0,0.0823,1
corner,straight,central,Deep Zonal,9,5,6,4,0,0,1,0,0,0,0,0,0,0.1356,1
free_kick_wide,inswinger,near_post,Hybrid,8,2,1,0,0,0,0,0,1,1,0,1,0,0.1003,0
throw_in,inswinger,penalty_spot,Deep Zonal,7,6,4,1,0,0,0,0,0,1,1,0,0,0.138,1
kick_off,outswinger,far_post,Deep Zonal,9,6,10,1,0,0,1,1,0,0,0,0,1,0.104,1
free_kick_wide,straight,near_post,High Zonal,3,3,10,3,0,0,1,1,0,0,0,1,0,0.1807,1
penalty,short,penalty_spot,Deep Zonal,10,5,7,3,0,0,1,0,0,0,0,1,0,0.8086,1
corner,outswinger,near_post,High Zonal,5,3,5,4,1,0,0,0,1,0,0,0,1,0.1088,1
corner,short,far_post,Man-to-Man,7,1,9,2,1,0,1,1,0,1,1,0,0,0.1549,1
corner,inswinger,edge_box,Deep Zonal,8,6,6,4,0,0,1,1,0,0,0,0,0,0.1255,1
throw_in,outswinger,six_yard,Deep Zonal,5,1,1,0,0,1,0,1,0,0,0,1,1,0.1013,0
corner,inswinger,central,Deep Zonal,5,2,4,0,0,0,0,1,0,1,0,0,0,0.1322,1
throw_in,long,six_yard,Hybrid,4,3,4,3,0,0,0,1,1,0,1,0,0,0.1055,1
corner,short,six_yard,Man-to-Man,3,7,7,1,1,0,0,0,0,1,0,1,0,0.1559,1
kick_off,long,penalty_spot,Hybrid,10,5,3,1,0,0,0,1,0,0,1,0,0,0.085,1
goal_kick,inswinger,wide_channel,Deep Zonal,7,6,8,1,0,0,0,1,0,0,1,0,1,0.0865,1
corner,straight,central,Deep Zonal,9,7,3,0,0,0,0,1,1,0,0,0,1,0.1155,0
corner,lofted,near_post,High Zonal,4,7,7,1,0,0,0,1,1,0,0,1,0,0.1837,1
corner,inswinger,six_yard,Man-to-Man,10,5,4,4,0,0,0,1,1,0,0,0,0,0.1276,1
goal_kick,straight,far_post,High Zonal,5,3,3,0,1,0,1,1,1,0,0,0,0,0.1295,1
corner,inswinger,central,Hybrid,7,3,8,4,0,0,1,0,0,1,1,0,0,0.1248,1
penalty,inswinger,near_post,Man-to-Man,7,2,10,2,0,1,0,1,1,0,1,0,0,0.7499,1
free_kick_wide,straight,near_post,Deep Zonal,9,5,8,3,0,0,1,0,0,0,0,1,0,0.1092,1
goal_kick,inswinger,near_post,Man-to-Man,4,5,6,3,0,0,0,1,0,0,1,0,0,0.1334,1
free_kick_central,short,central,Hybrid,11,7,10,0,1,0,1,0,1,0,0,0,1,0.1974,1
free_kick_central,lofted,wide_channel,High Zonal,4,2,9,1,0,0,0,0,1,0,1,1,0,0.1468,1
play_restart,outswinger,central,Man-to-Man,8,6,10,4,0,0,0,0,1,1,0,1,0,0.1547,1
corner,inswinger,six_yard,Hybrid,4,2,1,3,1,0,1,0,1,0,1,0,0,0.1613,1
goal_kick,driven,near_post,Man-to-Man,11,1,9,1,1,1,0,1,0,1,0,0,0,0.0932,0
corner,straight,central,Man-to-Man,8,3,6,2,1,1,1,1,0,0,0,0,0,0.1234,1
free_kick_central,driven,wide_channel,Man-to-Man,11,7,7,2,0,1,1,1,1,0,0,1,0,0.2148,1
kick_off,outswinger,central,High Zonal,11,4,10,0,1,0,1,1,0,0,1,1,0,0.0982,0
throw_in,short,central,Hybrid,5,2,6,4,0,0,0,1,1,1,0,1,0,0.1545,1
throw_in,lofted,six_yard,Deep Zonal,5,3,7,1,1,1,1,1,0,0,1,1,0,0.1447,1
corner,inswinger,near_post,Deep Zonal,4,5,10,4,1,1,1,1,0,1,1,1,0,0.2286,1
free_kick_wide,driven,near_post,Hybrid,9,2,2,1,0,0,1,1,0,0,0,0,0,0.1199,0
free_kick_wide,short,wide_channel,High Zonal,3,2,8,3,1,0,0,0,0,0,0,0,0,0.0962,1
free_kick_central,driven,far_post,Deep Zonal,4,2,8,2,1,0,1,0,0,0,1,0,0,0.1509,1
free_kick_central,inswinger,edge_box,Man-to-Man,11,1,2,4,0,0,1,0,1,0,0,1,0,0.0975,1
free_kick_wide,straight,near_post,High Zonal,8,5,1,3,0,0,0,1,0,0,0,0,0,0.0924,0
free_kick_wide,inswinger,central,Man-to-Man,7,3,7,2,1,0,1,0,0,0,0,0,0,0.1718,1
corner,lofted,far_post,Man-to-Man,4,3,4,1,1,0,0,1,0,0,0,0,1,0.1765,0
free_kick_wide,inswinger,edge_box,Deep Zonal,10,3,4,4,1,0,0,1,0,0,0,0,0,0.0444,1
corner,inswinger,central,High Zonal,10,5,3,0,0,0,1,1,1,0,0,1,0,0.1437,1
kick_off,driven,six_yard,Deep Zonal,3,7,6,2,0,0,0,1,0,0,0,0,0,0.1401,1
throw_in,outswinger,edge_box,Hybrid,9,6,3,1,0,1,1,1,0,0,0,0,1,0.0716,0
corner,short,penalty_spot,Man-to-Man,5,4,1,2,0,0,1,0,0,0,0,1,0,0.153,1
throw_in,outswinger,far_post,Hybrid,9,5,1,0,0,1,1,0,0,1,0,0,0,0.1127,1
goal_kick,short,penalty_spot,Man-to-Man,5,2,3,3,0,0,0,1,1,0,0,0,0,0.1217,1
corner,inswinger,edge_box,Hybrid,3,7,7,3,0,0,0,1,1,1,0,0,0,0.1459,1
corner,straight,near_post,Hybrid,9,5,6,3,0,0,1,1,0,1,0,0,1,0.1438,1
corner,short,six_yard,Man-to-Man,10,7,8,3,0,1,0,1,0,0,0,1,0,0.1589,1
corner,outswinger,far_post,Deep Zonal,9,2,6,0,1,0,0,0,1,0,0,0,1,0.089,1
goal_kick,outswinger,wide_channel,Man-to-Man,4,2,3,3,0,0,1,1,1,0,1,0,0,0.0963,1
play_restart,inswinger,wide_channel,Hybrid,7,6,10,1,0,0,1,1,1,0,1,1,1,0.1199,1
corner,long,near_post,Deep Zonal,7,3,6,3,0,1,0,1,0,1,0,0,0,0.1329,1
goal_kick,inswinger,far_post,Deep Zonal,10,2,7,3,0,0,1,0,0,1,0,0,0,0.0806,1
corner,outswinger,far_post,Hybrid,9,6,5,1,1,0,0,1,1,0,0,0,1,0.1529,1
throw_in,outswinger,penalty_spot,Man-to-Man,10,4,5,0,0,0,0,0,0,0,0,0,0,0.0844,0
goal_kick,straight,six_yard,High Zonal,8,6,10,0,1,0,0,1,0,1,0,0,1,0.1691,0
free_kick_wide,long,near_post,Deep Zonal,11,2,4,2,0,0,0,1,1,0,0,0,0,0.065,0
corner,straight,penalty_spot,Deep Zonal,10,1,9,2,0,0,1,1,0,0,0,0,0,0.1602,0
throw_in,driven,wide_channel,Deep Zonal,4,3,1,0,1,0,0,0,1,0,0,0,0,0.0335,1
play_restart,long,wide_channel,Hybrid,9,7,10,3,0,0,1,1,0,0,0,1,0,0.0952,1
corner,driven,near_post,Hybrid,3,5,8,1,0,0,0,1,1,0,0,0,1,0.1576,1
corner,long,wide_channel,Hybrid,9,6,9,4,0,1,1,1,0,0,0,0,1,0.1265,1
corner,inswinger,near_post,Man-to-Man,4,6,4,3,1,0,0,1,0,0,0,1,0,0.1337,0
penalty,lofted,penalty_spot,Man-to-Man,5,7,7,3,0,0,0,1,1,0,0,0,0,0.7666,1
throw_in,driven,central,Man-to-Man,8,4,8,1,1,0,0,1,1,0,0,1,0,0.1295,1
goal_kick,short,penalty_spot,Deep Zonal,6,2,1,3,0,0,0,1,1,1,0,1,0,0.0577,0
goal_kick,inswinger,near_post,High Zonal,8,7,7,3,0,0,1,1,0,0,1,0,0,0.1079,0
kick_off,inswinger,central,High Zonal,7,4,9,4,0,1,0,1,0,0,1,0,0,0.1863,1
goal_kick,short,central,Man-to-Man,8,3,9,2,0,0,0,1,0,0,0,0,1,0.1232,1
corner,straight,wide_channel,Man-to-Man,8,4,8,3,0,0,1,1,1,0,1,1,0,0.1082,1
penalty,long,penalty_spot,Deep Zonal,4,6,9,2,0,0,0,0,1,1,0,0,1,0.7578,0
corner,straight,edge_box,High Zonal,9,3,3,4,0,0,0,1,1,1,1,1,0,0.071,1
free_kick_wide,short,edge_box,High Zonal,11,6,7,3,0,0,1,1,1,0,0,0,0,0.0526,1
play_restart,inswinger,far_post,Deep Zonal,8,2,3,0,0,1,0,1,1,0,0,1,0,0.0901,1
throw_in,inswinger,near_post,Hybrid,8,3,9,3,1,0,0,1,0,0,1,0,0,0.1053,1
play_restart,inswinger,near_post,Deep Zonal,9,1,6,0,0,0,1,1,0,0,0,0,0,0.0675,0
free_kick_wide,driven,far_post,Hybrid,3,7,9,0,1,0,0,1,1,0,0,0,0,0.1705,1
free_kick_central,short,wide_channel,Hybrid,4,7,3,2,1,1,0,1,1,0,1,0,0,0.1479,1
free_kick_central,lofted,central,Hybrid,8,2,4,2,1,0,0,0,0,0,0,0,0,0.1462,0
corner,long,edge_box,Hybrid,6,4,10,2,0,0,0,1,0,0,0,0,0,0.0821,1
corner,long,six_yard,High Zonal,9,6,10,2,0,0,1,1,0,0,1,0,0,0.1594,0
free_kick_central,short,wide_channel,Hybrid,11,5,2,1,1,0,0,0,0,0,0,1,0,0.0425,1
corner,driven,central,Hybrid,10,5,4,4,1,1,0,0,0,0,0,1,0,0.1808,0
play_restart,lofted,wide_channel,Hybrid,4,2,2,3,1,0,1,1,1,0,1,0,1,0.1084,1
corner,long,penalty_spot,High Zonal,5,1,7,3,1,0,0,1,0,0,0,0,1,0.1441,1
corner,inswinger,far_post,Deep Zonal,4,7,1,2,0,0,0,0,1,0,0,1,0,0.1047,0
goal_kick,long,edge_box,Man-to-Man,3,7,1,3,1,0,1,1,0,0,0,0,0,0.122,1
corner,inswinger,central,High Zonal,9,7,6,2,1,0,1,0,1,0,0,1,0,0.1957,1
kick_off,inswinger,six_yard,Hybrid,9,1,9,4,1,0,0,1,0,1,0,0,0,0.1102,1
throw_in,long,penalty_spot,Deep Zonal,4,5,8,0,0,0,1,1,1,1,1,1,0,0.1536,1
corner,driven,edge_box,High Zonal,9,2,7,3,1,0,0,1,0,1,1,1,0,0.1045,1
throw_in,inswinger,six_yard,Deep Zonal,7,3,6,2,0,0,0,1,0,0,0,0,0,0.1167,1
throw_in,inswinger,penalty_spot,Deep Zonal,10,3,2,1,0,0,0,1,0,0,1,0,1,0.0801,1
goal_kick,driven,near_post,Man-to-Man,9,2,3,3,1,1,0,1,0,0,0,0,0,0.1083,1
goal_kick,inswinger,central,Man-to-Man,5,5,7,4,0,0,0,0,0,0,1,1,0,0.1369,1
throw_in,inswinger,six_yard,Deep Zonal,7,5,10,1,1,0,0,1,0,0,0,0,0,0.1338,1
throw_in,long,penalty_spot,Man-to-Man,5,7,1,2,0,0,0,0,1,0,1,1,0,0.1047,1
free_kick_wide,driven,six_yard,Hybrid,11,6,4,1,0,0,1,0,1,0,1,0,1,0.1646,1
throw_in,short,far_post,Deep Zonal,7,5,2,4,0,0,0,0,0,1,1,0,0,0.0469,1
play_restart,short,far_post,Deep Zonal,10,7,2,2,0,0,1,0,0,1,0,0,1,0.0635,1
throw_in,outswinger,six_yard,High Zonal,7,3,4,1,0,0,1,1,0,0,0,0,0,0.1147,1
throw_in,outswinger,edge_box,Deep Zonal,7,1,2,4,1,0,0,1,1,1,1,1,1,0.0562,1
free_kick_wide,long,central,Deep Zonal,4,7,3,1,0,0,0,1,1,0,0,1,0,0.1385,0
goal_kick,driven,near_post,Hybrid,11,3,5,0,1,1,0,0,1,0,1,0,0,0.0964,1
play_restart,outswinger,six_yard,High Zonal,9,4,8,1,0,1,0,1,0,0,0,0,0,0.124,0
corner,outswinger,edge_box,Man-to-Man,5,3,6,1,0,0,1,1,1,1,0,0,1,0.1555,1
corner,outswinger,far_post,Hybrid,10,7,6,1,0,0,0,1,0,0,0,0,0,0.097,0
free_kick_central,inswinger,penalty_spot,Deep Zonal,5,3,7,0,0,0,0,1,0,0,1,0,0,0.1425,1
free_kick_central,outswinger,central,High Zonal,3,5,3,4,1,0,0,1,1,1,0,0,0,0.1712,1
penalty,inswinger,far_post,Man-to-Man,9,5,1,1,0,1,0,1,0,0,0,1,0,0.7849,0
corner,driven,near_post,Man-to-Man,9,4,1,4,1,1,0,1,1,0,1,1,1,0.1366,1
free_kick_wide,outswinger,central,Man-to-Man,8,4,9,3,1,0,0,1,1,0,1,0,0,0.1701,1
throw_in,long,six_yard,Hybrid,9,1,9,4,0,0,0,1,0,0,0,0,1,0.0843,1
throw_in,short,central,High Zonal,5,7,4,1,1,0,1,1,0,0,0,0,0,0.1587,1
throw_in,driven,six_yard,High Zonal,5,3,8,3,1,0,0,0,0,1,0,0,0,0.1199,1
throw_in,lofted,far_post,Deep Zonal,6,2,3,1,0,0,1,0,1,1,1,0,1,0.1013,0
throw_in,straight,near_post,Man-to-Man,4,2,4,1,0,1,1,1,0,0,0,0,0,0.0929,0
goal_kick,inswinger,central,Hybrid,5,3,7,4,0,0,1,0,0,0,0,0,0,0.1254,1
throw_in,long,near_post,Man-to-Man,3,5,10,4,0,0,0,1,0,1,0,0,0,0.1358,1
free_kick_central,inswinger,edge_box,High Zonal,5,4,7,1,0,0,0,1,1,0,1,0,0,0.1593,1
throw_in,outswinger,wide_channel,Hybrid,7,6,10,0,0,0,1,0,1,0,0,0,0,0.1042,1
corner,inswinger,edge_box,Deep Zonal,6,6,10,2,0,0,1,1,0,0,1,0,0,0.1245,1
corner,driven,edge_box,Hybrid,6,3,1,4,0,0,1,1,0,0,0,0,0,0.0992,1
free_kick_central,inswinger,six_yard,Deep Zonal,11,6,5,4,0,0,0,0,0,0,0,0,0,0.1249,1
kick_off,straight,edge_box,Hybrid,3,5,5,2,1,1,0,0,1,0,0,1,0,0.0928,1
throw_in,straight,penalty_spot,Man-to-Man,10,7,2,2,0,0,0,1,1,0,1,1,0,0.115,1
corner,long,edge_box,Man-to-Man,3,1,3,4,0,0,0,1,0,1,0,0,0,0.0894,1
throw_in,outswinger,far_post,Hybrid,7,4,10,0,0,0,0,0,1,0,1,0,0,0.1021,0
corner,driven,near_post,High Zonal,4,5,2,1,0,1,0,0,0,1,0,0,0,0.1137,1
throw_in,long,edge_box,Deep Zonal,7,2,5,0,0,0,0,0,0,0,0,0,0,0.049,1
goal_kick,straight,edge_box,High Zonal,11,5,5,2,0,0,0,0,1,0,0,1,0,0.0805,1
throw_in,straight,central,Hybrid,3,6,7,4,0,0,1,0,1,1,0,0,0,0.1496,1
throw_in,driven,wide_channel,Hybrid,7,1,6,1,0,0,1,1,0,1,1,0,0,0.0833,1
free_kick_wide,long,near_post,Hybrid,7,7,1,4,0,0,0,1,1,1,0,0,0,0.1609,1
free_kick_central,straight,edge_box,High Zonal,7,7,5,2,0,1,1,0,0,0,0,0,0,0.1563,0
kick_off,outswinger,wide_channel,Deep Zonal,8,2,4,1,0,0,1,1,0,0,1,0,0,0.005,0
throw_in,inswinger,central,Deep Zonal,5,2,2,4,0,1,0,1,1,1,1,0,1,0.1289,1
free_kick_central,inswinger,wide_channel,Hybrid,10,2,10,3,0,1,1,1,0,0,0,0,0,0.129,1
free_kick_wide,inswinger,six_yard,Hybrid,5,1,6,2,1,0,0,0,1,1,0,0,0,0.1685,1
corner,inswinger,edge_box,Hybrid,6,1,10,0,0,0,0,1,0,0,0,0,1,0.1354,0
corner,inswinger,wide_channel,Hybrid,7,3,10,2,1,1,0,1,1,0,0,1,0,0.1154,1
corner,driven,edge_box,Hybrid,11,5,10,1,1,1,0,1,1,0,0,1,0,0.1758,1
free_kick_wide,driven,far_post,Deep Zonal,7,5,3,2,0,0,0,1,0,1,0,1,1,0.12,0
play_restart,driven,edge_box,Man-to-Man,10,4,9,4,1,0,0,1,0,0,1,1,0,0.1191,1
free_kick_central,short,far_post,Man-to-Man,4,5,1,4,0,0,0,0,0,0,0,0,0,0.1241,1
corner,short,central,High Zonal,3,1,6,2,1,1,1,0,0,0,1,0,0,0.1454,1
corner,inswinger,near_post,Hybrid,7,7,9,1,1,0,1,1,0,1,0,1,1,0.1976,1
free_kick_wide,long,central,High Zonal,11,2,6,1,0,1,0,1,0,1,1,0,0,0.153,0
goal_kick,outswinger,six_yard,Hybrid,5,3,3,1,0,0,1,1,0,1,1,0,0,0.1406,1
free_kick_wide,short,wide_channel,Deep Zonal,5,5,1,2,1,1,0,0,1,1,0,0,1,0.1313,1
goal_kick,lofted,wide_channel,High Zonal,4,1,5,4,0,0,1,1,1,1,1,1,0,0.0817,1
goal_kick,driven,central,Man-to-Man,11,4,8,4,1,1,0,1,0,1,0,1,1,0.188,1
corner,outswinger,penalty_spot,Deep Zonal,3,7,10,1,0,0,1,1,1,0,0,0,0,0.2172,1
throw_in,long,penalty_spot,Deep Zonal,8,2,8,4,0,1,0,1,1,0,0,0,0,0.1435,1
play_restart,inswinger,near_post,Hybrid,6,5,5,2,0,0,0,0,1,0,1,1,0,0.0809,1
free_kick_wide,inswinger,penalty_spot,Man-to-Man,6,5,8,3,1,0,1,1,0,0,0,0,0,0.1919,1
corner,inswinger,central,Man-to-Man,9,1,8,1,0,0,0,1,1,0,0,1,0,0.1499,0
play_restart,inswinger,wide_channel,Hybrid,6,1,4,4,1,0,0,1,0,0,1,0,0,0.0817,1
kick_off,long,central,Hybrid,3,2,3,2,1,0,0,0,0,0,0,0,1,0.0696,1
free_kick_central,straight,six_yard,High Zonal,8,1,3,3,1,0,0,1,1,0,1,0,0,0.1358,1
penalty,inswinger,six_yard,Deep Zonal,3,4,8,1,0,0,0,1,0,0,1,0,1,0.7274,1
corner,lofted,edge_box,Hybrid,10,2,9,4,0,0,0,1,0,1,1,0,0,0.0657,1
goal_kick,short,central,Hybrid,11,5,2,2,0,0,0,0,0,1,0,0,0,0.0455,0
free_kick_central,straight,central,High Zonal,10,3,10,3,0,1,0,0,0,0,0,0,0,0.1623,1
corner,short,wide_channel,High Zonal,6,3,1,2,0,0,0,0,1,1,1,0,0,0.0232,1
throw_in,short,near_post,Deep Zonal,6,1,5,2,1,1,0,1,1,0,1,1,1,0.1131,1
play_restart,straight,near_post,Man-to-Man,8,6,5,1,0,0,0,0,0,0,0,0,0,0.0794,0
goal_kick,short,wide_channel,Hybrid,10,1,1,4,0,0,0,1,0,1,0,1,1,0.005,1
corner,driven,edge_box,Deep Zonal,9,7,8,1,0,1,0,1,0,1,0,1,1,0.128,0
corner,outswinger,edge_box,High Zonal,7,2,10,1,1,0,0,0,0,1,0,0,0,0.1327,1
play_restart,straight,near_post,Man-to-Man,10,7,3,2,0,0,1,0,0,0,1,0,1,0.0831,1
play_restart,inswinger,far_post,High Zonal,6,6,7,2,1,0,0,1,0,1,0,0,0,0.1347,1
free_kick_central,driven,six_yard,Man-to-Man,9,6,10,1,1,1,0,1,0,0,0,0,0,0.2314,1
throw_in,outswinger,central,Hybrid,5,6,7,4,0,0,0,1,0,1,0,1,0,0.1043,1
free_kick_central,outswinger,central,Man-to-Man,7,4,5,3,1,0,0,0,1,0,1,0,0,0.2074,0
free_kick_wide,lofted,near_post,Hybrid,10,2,10,4,0,1,1,0,1,1,0,0,0,0.1536,1
corner,short,penalty_spot,Man-to-Man,5,5,5,1,0,0,1,0,0,1,0,0,0,0.1618,1
corner,inswinger,central,Hybrid,8,5,7,2,1,0,0,1,0,0,0,1,1,0.1769,1
corner,outswinger,six_yard,Hybrid,5,6,8,2,1,1,0,1,1,0,0,0,1,0.2084,1
goal_kick,straight,central,High Zonal,6,2,7,2,1,0,0,1,0,1,1,1,0,0.1282,1
corner,lofted,near_post,Man-to-Man,5,6,4,0,0,0,1,0,0,0,1,1,0,0.1776,1
corner,straight,wide_channel,Deep Zonal,8,7,8,4,0,0,0,0,1,0,0,1,0,0.0613,1
penalty,outswinger,wide_channel,High Zonal,9,6,4,4,0,1,0,1,0,0,0,1,0,0.8083,1
corner,short,edge_box,High Zonal,10,2,5,2,0,1,0,1,0,0,0,0,0,0.0538,1
corner,straight,wide_channel,High Zonal,6,2,6,1,0,1,0,1,0,0,0,0,1,0.1326,1
penalty,inswinger,near_post,High Zonal,4,1,3,2,1,0,0,1,0,1,1,1,0,0.8309,0
free_kick_wide,driven,far_post,High Zonal,11,6,8,0,0,0,0,1,0,0,0,0,1,0.0932,1
throw_in,inswinger,central,Hybrid,6,4,3,0,1,1,0,1,1,0,0,1,0,0.1673,1
kick_off,driven,far_post,Deep Zonal,8,3,2,1,1,1,0,1,1,1,1,0,0,0.1165,0
corner,driven,edge_box,High Zonal,6,2,8,1,1,0,0,1,0,0,0,0,0,0.1246,1
kick_off,inswinger,six_yard,Deep Zonal,10,4,9,1,1,0,1,0,0,0,0,0,1,0.1375,0
kick_off,long,near_post,Man-to-Man,3,2,3,1,1,0,0,1,0,1,0,1,0,0.1369,1
goal_kick,driven,far_post,Man-to-Man,3,6,6,0,0,1,0,0,1,1,1,0,0,0.1621,0
throw_in,short,wide_channel,High Zonal,6,3,10,2,1,0,0,0,0,1,1,0,1,0.0818,1
throw_in,short,penalty_spot,High Zonal,6,4,4,0,1,0,0,1,0,0,1,1,0,0.151,1
throw_in,inswinger,central,Man-to-Man,9,5,5,3,0,1,1,1,1,0,0,0,0,0.1682,1
